year,miles,,
1895,26.0,,
1904,1.5,,
1920,2.1,,
1923,3.6,,
1932,2.3,,
1936,6.9,,
1938,3.9,,
1939,7.0,,
1940,1.9,,
1941,26.7,,
1951,0.5,,
1953,2.0,,
1955,0.9,,
1966,3.0,,
1967,4.5,,
1970,9.0,,
1973,3.8,,
1974,3.1,,
1978,2.6,,
1979,34.7,,
1980,13.7,,
1981,1.4,,
1983,5.4,,
1986,3.1,,
1987,7.0,,
1988,0.8,,
1989,0.2,,
1990,2.8,,
1992,0.4,,
1994,0.9,,
1996,9.6,,
1997,30.7,,
1998,13.7,,
1999,16.7,,
2000,25.0,,
2001,35.2,,
2002,23.3,,
2003,54.5,,
2004,14.0,,
2005,8.9,,
2006,44.6,,
2007,79.5,,
2008,86.0,,
2009,81.9,,
2010,58.2,,
2011,20.0,,
2012,42.4,,
2013,8.5,,
