year,month,day,mintempi,meantempi,maxtempi,maxvisi,meanvisi,minvisi,fog,humidity,precipi,thunder,hail,snow,snowdepthi,snowfalli,monthtodatesnowfalli,meanwindspdi,rain,mintempm,precipsource
2013,08,30,70,78,85,10,9,7,0,,0.00,0,0,0,0.00,0.00,0.00,4,0,21,
2013,08,29,71,76,80,10,7,2,0,,T,0,0,0,0.00,0.00,0.00,5,1,22,
2013,08,28,71,79,86,10,4,0,1,,0.43,0,0,0,0.00,0.00,0.00,3,1,22,
2013,08,27,71,79,87,10,10,8,0,,0.01,0,0,0,0.00,0.00,0.00,5,1,22,
2013,08,26,68,76,84,10,10,6,0,,0.04,0,0,0,0.00,0.00,0.00,6,1,20,
2013,08,25,64,74,83,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,4,0,18,
2013,08,24,65,73,80,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,5,0,18,
2013,08,23,71,77,82,10,9,6,0,,0.00,0,0,0,0.00,0.00,0.00,6,0,22,
2013,08,22,71,75,78,10,6,2,0,,0.25,0,0,0,0.00,0.00,0.00,4,1,22,
2013,08,21,72,81,90,10,10,8,0,,0.00,0,0,0,0.00,0.00,0.00,3,0,22,
2013,08,20,68,78,88,10,10,8,0,,0.00,0,0,0,0.00,0.00,0.00,3,0,20,
2013,08,19,66,73,79,10,10,8,0,,T,0,0,0,0.00,0.00,0.00,3,0,19,
2013,08,18,68,72,76,10,10,8,0,,T,0,0,0,0.00,0.00,0.00,3,0,20,
2013,08,17,64,74,84,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,2,0,18,
2013,08,16,64,73,82,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,2,0,18,
2013,08,15,59,69,78,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,4,0,15,
2013,08,14,61,68,74,10,10,9,0,,0.00,0,0,0,0.00,0.00,0.00,6,0,16,
2013,08,13,68,73,77,10,5,1,0,,0.85,0,0,0,0.00,0.00,0.00,3,1,20,
2013,08,12,70,76,82,10,9,2,0,,0.05,0,0,0,0.00,0.00,0.00,2,1,21,
2013,08,11,65,73,81,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,3,0,18,
2013,08,10,70,77,83,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,5,0,21,
2013,08,09,74,80,85,10,8,3,0,,0.05,0,0,0,0.00,0.00,0.00,4,1,23,
2013,08,08,70,76,81,10,5,0,1,,0.46,0,0,0,0.00,0.00,0.00,4,1,21,
2013,08,07,70,75,80,10,10,10,0,,T,0,0,0,0.00,0.00,0.00,5,0,21,
2013,08,06,64,73,82,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,3,0,18,
2013,08,05,62,70,78,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,3,0,17,
2013,08,04,66,73,80,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,5,0,19,
2013,08,03,68,73,78,10,9,4,0,,0.06,0,0,0,0.00,0.00,0.00,3,1,20,
2013,08,02,67,75,83,10,7,2,0,,0.00,0,0,0,0.00,0.00,0.00,5,0,19,
2013,08,01,66,71,76,10,4,0,1,,0.65,0,0,0,0.00,0.00,0.00,3,1,19,
2013,07,31,67,75,83,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,3,0,19,
2013,07,30,67,75,83,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,4,0,19,
2013,07,29,69,77,85,10,9,5,0,,0.01,0,0,0,0.00,0.00,0.00,4,1,21,
2013,07,28,70,74,78,10,7,2,0,,0.24,0,0,0,0.00,0.00,0.00,2,1,21,
2013,07,27,70,76,82,10,10,8,0,,0.00,0,0,0,0.00,0.00,0.00,3,0,21,
2013,07,26,65,74,83,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,5,0,18,
2013,07,25,64,66,68,10,10,10,0,,0.01,0,0,0,0.00,0.00,0.00,9,1,18,
2013,07,24,68,76,83,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,5,0,20,
2013,07,23,73,80,87,10,6,1,0,,0.31,0,0,0,0.00,0.00,0.00,4,1,23,
2013,07,22,75,81,86,9,6,2,0,,0.06,0,0,0,0.00,0.00,0.00,5,1,24,
2013,07,21,76,83,89,10,10,8,0,,0.00,0,0,0,0.00,0.00,0.00,5,0,24,
2013,07,20,81,87,93,10,7,6,0,,0.00,0,0,0,0.00,0.00,0.00,6,0,27,
2013,07,19,83,90,96,8,6,5,0,,0.00,0,0,0,0.00,0.00,0.00,5,0,28,
2013,07,18,81,90,98,10,8,6,0,,0.00,0,0,0,0.00,0.00,0.00,4,0,27,
