year,month,day,mintempi,meantempi,maxtempi,maxvisi,meanvisi,minvisi,fog,humidity,precipi,thunder,hail,snow,snowdepthi,snowfalli,monthtodatesnowfalli,meanwindspdi,rain,mintempm,precipsource
2013,12,26,30,33,36,10,10,10,0,,T,0,0,0,0.00,T,8.60,5,0,-1,
2013,12,25,19,25,31,10,10,10,0,,0.00,0,0,0,0.00,0.00,8.60,5,0,-7,
2013,12,24,26,34,42,10,10,10,0,,T,0,0,0,0.00,T,8.60,8,0,-3,
2013,12,23,42,53,64,10,6,2,0,,0.51,0,0,0,0.00,0.00,8.60,5,1,6,
2013,12,22,61,66,71,10,10,10,0,,T,0,0,0,0.00,0.00,8.60,6,0,16,
2013,12,21,51,58,65,10,10,9,0,,0.01,0,0,0,1.00,0.00,8.60,8,0,11,
2013,12,20,41,47,53,10,10,10,0,,0.00,0,0,0,3.00,0.00,8.60,5,0,5,
2013,12,19,30,39,47,10,10,9,0,,0.00,0,0,0,3.00,0.00,8.60,5,0,-1,
2013,12,18,23,30,37,10,10,8,0,,0.00,0,0,0,4.00,0.00,8.20,7,0,-5,
2013,12,17,24,28,32,10,4,0,1,,0.19,0,0,1,3.00,1.10,8.20,6,1,-4,
2013,12,16,25,29,33,10,10,10,0,,0.00,0,0,0,2.00,0.00,7.10,8,0,-4,
2013,12,15,30,35,40,10,8,2,0,,0.72,0,0,0,3.00,0.00,7.10,9,1,-1,
2013,12,14,22,28,34,10,3,0,1,,0.73,0,0,1,0.00,5.00,7.10,10,1,-6,
2013,12,13,23,29,35,10,10,10,0,,0.00,0,0,0,0.00,0.00,2.10,6,0,-5,
2013,12,12,23,27,30,10,10,10,0,,0.00,0,0,0,0.00,0.00,1.50,7,0,-5,
2013,12,11,27,30,33,10,10,10,0,,0.00,0,0,0,0.00,0.00,1.50,8,0,-3,
2013,12,10,30,34,37,10,5,0,1,,0.23,0,0,1,0.00,1.40,1.50,6,0,-1,
